invoice_number,work_order_id,expected_status,note
INV-9001,WO-17001,no_work_order,referenced work order not in approved list
INV-9002,WO-3002,over_budget,billed 2433.30 against 1818.20 approved
INV-9003,WO-3003,over_budget,billed 512.86 against 398.50 approved
INV-9004,WO-3004,matched,
INV-9005,WO-3005,matched,
INV-9006,WO-3006,matched,
INV-9007,WO-3007,matched,
INV-9008,WO-3008,amount_variance,billed 1153.85 against 1340.60 approved
INV-9009,WO-3009,matched,
INV-9010,WO-3010,matched,
INV-9011,WO-3011,matched,
INV-9012,WO-3012,matched,
INV-9013,WO-3013,matched,"vendor name variant, same entity"
INV-9014,WO-3014,matched,
INV-9015,WO-3015,matched,
INV-9016,,no_work_order,referenced work order not in approved list
INV-9017,WO-3017,matched,
INV-9018,WO-3018,matched,
INV-9019,WO-3019,matched,
INV-9020,WO-3020,over_budget,billed 726.36 against 567.67 approved
INV-9021,WO-3021,matched,
INV-9022,WO-3022,amount_variance,billed 159.68 against 180.85 approved
INV-9023,WO-3023,matched,
INV-9024,WO-3024,matched,
INV-9025,WO-3025,matched,
INV-9026,WO-3026,over_budget,billed 135.69 against 96.17 approved
INV-9027,WO-3027,matched,
INV-9028,WO-3028,matched,
INV-9029,WO-3029,matched,
INV-9030,WO-3030,matched,
INV-9031,WO-3031,matched,
INV-9032,WO-3032,matched,
INV-9022,WO-3022,duplicate_invoice,invoice number already seen
INV-9002,WO-3002,duplicate_invoice,invoice number already seen
INV-9032,WO-3032,duplicate_invoice,invoice number already seen
